0,1,2,3,4,5
タイトル,アーティスト名,ボーカル,最低,最高,備考
嗚呼、素晴らしきニャン生,Nem,GUMI,mid2A#,hiC#,
嗚呼、素晴らしきニャン生,Nem,鏡音レン,mid1G,hiA#,
EYE,Kanaria,GUMI,mid2A,hiF#,
愛言葉,DECO*27,初音ミク,mid2B,hiD,
愛言葉Ⅱ,DECO*27,初音ミク,mid1G,hiD,
愛言葉Ⅲ,DECO*27,初音ミク,mid1G#,hiE,
愛言葉Ⅳ,DECO*27,初音ミク,mid1G#,hiF,
愛して愛して愛して,きくお,初音ミク,mid2A#,hiG#,
Ice breaker,ねじ式,結月ゆかり,mid2D#,hiF,
Ice breaker,ねじ式,IA,mid2D#,hiF,
あいたいあの子に、あわせてあげる。,アメリカ民謡研究会,重音テト,hiA#,hiG#,
あいたいあの子に、あわせてあげる。,アメリカ民謡研究会,小春六花,hiA#,hiG#,
アイディスマイル,とあ,初音ミク,mid1G#,hiF#,
アイディスマイル,とあ,鏡音リン,mid1F#,hiF#,
アイデンティティ,Kanaria,GUMI,mid2A,hiG,
アイデンティティ,Kanaria,初音ミク,mid2A,hiD,
Iなんです,れるりり,初音ミク,mid2C#,hiD#,
曖昧劣情Lover,電ポルP,flower,mid2D,hiF#,
愛迷エレジー,DECO*27,初音ミク,mid2B,hiC,
愛欲のプリズナー,ひとしずくP×やま△,鏡音レン,mid1E,hiA#,
愛欲のプリズナー,ひとしずくP×やま△,鏡音リン,mid2E,hihiA#,
アイラビューアイニジュー,KEI,初音ミク,mid1G,hiE,サビでの最高音はhiD
I♥,Junky,鏡音リン,mid2C,hiA#,
アウターサイエンス,じん(自然の敵P),IA,mid1E,hiE,
阿吽のビーツ,羽生まゐご,flower,mid2A,hihiB,
アサガオの散る頃に,じっぷす,初音ミク,mid2B,hihiC,
アザレアの亡霊,トーマ,初音ミク,mid2A,hihiD,
アスノヨゾラ哨戒班,Orangestar,IA,mid1E,hiF#,アウトロのフェイクでhihiC#出現
アディショナルメモリー,じん,IA,mid2D,hiF#,
アトラクトライト,*Luna,鏡音レン,mid1G,hiF,
貴方だけが、幸せでありますように。,アメリカ民謡研究会,紲星あかり,-,-,メロディーはなくポエトリーリーディングで構成されている
貴方に花を　私に唄を,Re:A&Re:nG,初音ミク,mid2C#,hiF#,サビの最高音はhiF（なま【え】なんていらないよ）
アニマル,DECO*27,初音ミク,mid1F#,hiG,
あの夏が飽和する。,カンザキイオリ,鏡音リン,mid1G,hiG#,
あの夏が飽和する。,カンザキイオリ,鏡音レン,mid1G,hiG#,
甘噛みでおねがい,ピノキオピー,初音ミク,mid2A,hiE,
天ノ弱,164,GUMI,mid2A,hiG#,hiG#はラスサビで2回。ラスサビで転調キー+1、それまでの最高音はhiG。サビはhi域のみで構成される。
雨とペトラ,バルーン,flower,mid2F,hihiA#,
アヤノの幸福理論,じん(自然の敵P),IA,mid1E,hiE,
ARiA,とくP,IA,,hiE,
Alice in N.Y.,ひとしずくP×やま△,鏡音レン,mid1F,hiF#,
Alice in N.Y.,ひとしずくP×やま△,鏡音リン,mid1F,hiF#,
Alice in N.Y.,ひとしずくP×やま△,初音ミク,mid1F,hihiC#,
Alice in N.Y.,ひとしずくP×やま△,GUMI,mid2D#,hiF,
Alice in N.Y.,ひとしずくP×やま△,KAITO,lowG#,mid2A#,
Alice in N.Y.,ひとしずくP×やま△,神威がくぽ,lowG#,mid2C,
Alice in N.Y.,ひとしずくP×やま△,MEIKO,mid2D#,hiA#,
Alice in N.Y.,ひとしずくP×やま△,巡音ルカ,mid2D#,hiF,
Alice in N.Y.,ひとしずくP×やま△,MAYU,mid2D#,hiF,
Alice in N.Y.,ひとしずくP×やま△,IA,mid2D#,hiF,
Alice in Musicland,OSTERproject,初音ミク,mid2A,hiF#,
Alice in Musicland,OSTERproject,鏡音リン,mid2C#,hiE,
Alice in Musicland,OSTERproject,鏡音レン,mid1F#,hiC,
Alice in Musicland,OSTERproject,巡音ルカ,mid2A,hiE,
Alice in Musicland,OSTERproject,KAITO,mid1A#,mid2F#,
Alice in Musicland,OSTERproject,MEIKO,mid2A,hiF#,
Alice in 冷凍庫,Orangestar,IA,mid2F,hihiD,
あわよくばきみの眷属になりたいな,Peg,鏡音リン,mid2C,hiE,
アングレイデイズ,ツミキ,鏡音リン,mid2F#,hihiC#,
アンチグラビティーズ,Sasakure.UK,GUMI,mid1F,hiF,
ANTI THE∞HOLiC,cosMo@暴走P,巡音ルカ,mid1E,hihiF#,
ANTI THE∞HOLiC,cosMo@暴走P,鏡音リン,mid2E,hihiF#,
アンチジョーカー,マイキ,初音ミク,mid2C#,hihiE,
アンドロイドガール,DECO*27,初音ミク,mid1E,hiF#,
アンドロメダアンドロメダ,ナユタン星人,初音ミク,mid2B,hiF#,
アンノウン・マザーグース,wowaka,初音ミク,mid1F#,hihiC#,
アンハッピーバースデイ,かいりきベア,初音ミク,mid2D,hihiA#,
アンハッピーリフレイン,wowaka,初音ミク,mid2E,hihiC,サビでのhihiCに次いで、hihiAがBメロ、hiGがサビで出現。
いーあるふぁんくらぶ,みきとP,GUMI,mid1G,hiD,
いーあるふぁんくらぶ,みきとP,鏡音リン,mid2D,hiA#,
い～やい～やい～や,Neru&z'5,鏡音リン,mid1C,hiC,
い～やい～やい～や,Neru&z'5,鏡音レン,mid1C,hiC,
