タイトル,アーティスト名,ボーカル,最低,最高,備考
マーシャル・マキシマイザー,柊マグネタイト,可不,mid2C#,hiF,
マオ,かいりきベア＆まふまふ,初音ミク,mid2B,hihiC#,ラスサビの転調後最高音登場「大事なのは ありのまま」
magnet,流星P,巡音ルカ,mid2A,hiE,
magnet,流星P,初音ミク,mid2A,hiF#
マダラカルト,トーマ,GUMI,mid2B,hihiA,
マチガイサガシ,まふまふ,IA,mid1G#,hiG#,アプリゲーム『#コンパス 戦闘摂理解析システム』のキャラクター「ジャンヌダルク」のテーマソング
マトリョシカ,ハチ,初音ミク,mid1G#,hiE,
マトリョシカ,ハチ,GUMI,mid1G#,hiE
魔法少女幸福論,トーマ,初音ミク,mid2A#,hihiD#,
魔法少女とチョコレゐト,キノピオピー,初音ミク,mid2C#,hiF,
魔法の本より,sui,初音ミク,mid2A#,hiF,
右肩の蝶,のりP,鏡音レン,mid1G,hiF,
みくみくにしてあげる♪,ika_mo,初音ミク,mid2E,hiE,mid2EはBメロで1回のみ。hiEはサビで連発。UGAにも入曲済
Mr.シャーデンフロイデ,ひとしずくP×やま△,初音ミク,mid1E,hihiB,GM Mr.Sのパートは対象外GUMIパートの最高音は二番サビオク上歌唱
Mr.シャーデンフロイデ,ひとしずくP×やま△,鏡音リン,mid2A#,hiG
Mr.シャーデンフロイデ,ひとしずくP×やま△,鏡音レン,mid2A,hihiC
Mr.シャーデンフロイデ,ひとしずくP×やま△,巡音ルカ,mid2A,hiB
Mr.シャーデンフロイデ,ひとしずくP×やま△,KAITO,mid1A,mid2G
Mr.シャーデンフロイデ,ひとしずくP×やま△,MEIKO,mid2A,hiG
Mr.シャーデンフロイデ,ひとしずくP×やま△,GUMI,mid2A,hihiG
Mr.シャーデンフロイデ,ひとしずくP×やま△,神威がくぽ,mid1A,mid2G
Mr.Showtime,ひとしずくP×やま△,初音ミク,mid2C,hihiB,
Mr.Showtime,ひとしずくP×やま△,鏡音リン,mid1F,hihiA
Mr.Showtime,ひとしずくP×やま△,鏡音レン,mid1D,hiC
Mr.Showtime,ひとしずくP×やま△,巡音ルカ,mid2B,hiD
Mr.Showtime,ひとしずくP×やま△,KAITO,mid1D,mid2G
Mr.Showtime,ひとしずくP×やま△,MEIKO,mid1G#,hiF
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,初音ミク,mid2C#,hiD#,
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,巡音ルカ,mid2C#,hiD#
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,鏡音リン,mid2C#,hiD#
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,鏡音レン,mid2C#,hiD#
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,GUMI,mid2C#,hiD#
Mr.Music,かごめP&れるりり&ロンチーノ=ペペ,歌愛ユキ,mid2C#,hiD#
Mrs.Pumpkinの滑稽な夢,ハチ,初音ミク,mid1G,hiG#,
明星ギャラクティカ,ナユタン星人,初音ミク,,,
未来Changer,がさき,IA,hiC,hihiF,hihiCが終始頻出
ミラクルペイント,OSTER project,初音ミク,mid2A,hiF#,最高音hiF#はラスサビに5回。ラストはロングトーン三連発。ラスサビ以外はhiFが最高。
ミルククラウン・オン・ソーネチカ,ユジー,初音ミク,mid2B,hihiA,
㋰責任集合体,マサラダ,重音テト,mid1F,hiC#,
メーベル,バルーン,flower,mid2D#,hihiC#,
メカクシコード,じん(自然の敵P),初音ミク,mid2D,hihiE,hihiEはラストにhihiD、hihiBとのコンボで出てくる。それ以外の最高音はサビのhihiB。
メズマライザー,サツキ,初音ミク,mid2A#,hihiD,
メズマライザー,サツキ,重音テト,mid2A#,hihiD,
メタクロニクル,shr,鏡音リン,lowD,hiE,メロはmid1A頻出の低音構成で一番低い所はlowDまで下がる。
モニタリング,DECO*27,初音ミク,mid2A,hihiA,
メビウス,柊キライ,flower,mid2D,hihiC,
メランコリック,Junky,鏡音リン,mid2C,hiD#,
メリーバットエンド,まふまふ,初音ミク,mid2A,hihiA#,ラスサビ後の「あははははははは」はhihihiA#
メルティランドナイトメア,はるまきごはん,初音ミク,mid2B,hiF#,
メルト,supercell,初音ミク,mid2A,hihiA,hihiAはラスサビで1回のみ。それ以外では最高音hiG。サビの要となる高音はhiF#。
妄想感傷代償連盟,DECO*27,初音ミク,mid2C,hiD#,
猛独が襲う,一二三,初音ミク,mid1F#,hiF#,
モザイクロール(Reloaded),DECO*27,初音ミク,mid2B,hiD#,
モノクロアクト,doriko,,,hiE,
